ts_code,close_20210705,close_20210730,rate
000001.SZ,22.06,17.69,-0.198096101541251
000002.SZ,23.82,20.66,-0.13266162888329136
000004.SZ,19.78,21.99,0.1117290192113245
000005.SZ,1.9,2.09,0.09999999999999987
000006.SZ,4.9,4.42,-0.09795918367346945
000007.SZ,4.26,4.36,0.023474178403755985
000008.SZ,2.19,2.04,-0.06849315068493145
000009.SZ,17.78,21.22,0.19347581552305937
000010.SZ,3.93,3.86,-0.0178117048346057
000011.SZ,11.96,11.58,-0.03177257525083621
000012.SZ,10.58,9.7,-0.08317580340264663
000014.SZ,7.7,6.74,-0.12467532467532472
000016.SZ,6.52,5.96,-0.08588957055214719
000017.SZ,3.57,4.12,0.15406162464986006
000019.SZ,7.25,7.11,-0.0193103448275862
000020.SZ,9.76,9.6,-0.016393442622950838
000021.SZ,18.7,18.43,-0.01443850267379676
000023.SZ,14.9,13.9,-0.06711409395973156
000025.SZ,14.65,15.34,0.047098976109214874
000026.SZ,14.02,12.17,-0.13195435092724672
000027.SZ,8.82,8.58,-0.027210884353741527
000028.SZ,36.71,34.88,-0.04985017706347039
000029.SZ,7.47,6.78,-0.09236947791164651
000030.SZ,6.27,5.42,-0.1355661881977671
000031.SZ,3.64,3.23,-0.11263736263736268
000032.SZ,18.58,17.42,-0.06243272335844974
000034.SZ,23.03,18.75,-0.18584455058619198
000035.SZ,4.54,4.18,-0.07929515418502209
000036.SZ,4.86,3.96,-0.18518518518518523
000037.SZ,8.23,7.63,-0.07290400972053468
000038.SZ,11.34,9.65,-0.14902998236331566
000039.SZ,18.77,15.66,-0.1656899307405434
000040.SZ,2.76,2.98,0.07971014492753636
000042.SZ,8.39,7.04,-0.16090584028605492
000045.SZ,9.36,9.19,-0.01816239316239321
000046.SZ,2.26,1.99,-0.11946902654867253
000048.SZ,17.98,18.26,0.015572858731924377
000049.SZ,46.75,41.42,-0.11401069518716578
000050.SZ,13.58,14.0,0.030927835051546282
000055.SZ,4.52,4.36,-0.03539823008849541
000056.SZ,2.72,2.96,0.08823529411764697
000058.SZ,5.8,5.58,-0.037931034482758585
000059.SZ,7.57,6.34,-0.16248348745046237
000060.SZ,4.54,5.23,0.15198237885462573
000061.SZ,5.47,5.55,0.014625228519195677
000062.SZ,17.23,16.46,-0.04468949506674402
000063.SZ,32.09,38.8,0.20909940791523818
000065.SZ,8.38,7.23,-0.13723150357995229
000066.SZ,14.28,15.95,0.11694677871148462
000068.SZ,2.68,2.73,0.018656716417910335
000069.SZ,7.53,6.45,-0.14342629482071712
000070.SZ,8.06,7.38,-0.08436724565756826
