ts_code,close_20210705,close_20210730,rate
003013.SZ,22.5,17.91,-0.20399999999999996
603069.SH,22.77,18.13,-0.2037768994290734
605300.SH,28.58,22.76,-0.20363890832750164
002989.SZ,31.4,25.01,-0.2035031847133757
300896.SZ,814.2,648.81,-0.2031319086219603
002891.SZ,41.75,33.28,-0.202874251497006
000550.SZ,23.2,18.5,-0.2025862068965517
300685.SZ,103.2,82.3,-0.20251937984496127
300634.SZ,22.58,18.01,-0.20239149689991132
000560.SZ,4.5,3.59,-0.2022222222222223
603429.SH,32.74,26.15,-0.20128283445326822
688488.SH,25.08,20.04,-0.200956937799043
002901.SZ,68.77,54.96,-0.2008143085647811
688056.SH,64.17,51.33,-0.2000935016362787
